"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2015M11","European Union (28 countries)","Extra EU-28","Total","Total","Asylum applicant","Person","158 665",""
"2015M11","European Union (28 countries)","Extra EU-28","Total","Total","First time applicant","Person","154 695",""
"2015M11","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","52 280",""
"2015M11","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","51 980",""
"2015M11","Belgium","Extra EU-28","Total","Total","Asylum applicant","Person","5 725",""
"2015M11","Belgium","Extra EU-28","Total","Total","First time applicant","Person","5 530",""
"2015M11","Belgium","Syria","Total","Total","Asylum applicant","Person","1 755",""
"2015M11","Belgium","Syria","Total","Total","First time applicant","Person","1 745",""
"2015M11","Bulgaria","Extra EU-28","Total","Total","Asylum applicant","Person","2 415",""
"2015M11","Bulgaria","Extra EU-28","Total","Total","First time applicant","Person","2 395",""
"2015M11","Bulgaria","Syria","Total","Total","Asylum applicant","Person","320",""
"2015M11","Bulgaria","Syria","Total","Total","First time applicant","Person","320",""
"2015M11","Czech Republic","Extra EU-28","Total","Total","Asylum applicant","Person","135",""
"2015M11","Czech Republic","Extra EU-28","Total","Total","First time applicant","Person","115",""
"2015M11","Czech Republic","Syria","Total","Total","Asylum applicant","Person","10",""
"2015M11","Czech Republic","Syria","Total","Total","First time applicant","Person","10",""
"2015M11","Denmark","Extra EU-28","Total","Total","Asylum applicant","Person","5 030",""
"2015M11","Denmark","Extra EU-28","Total","Total","First time applicant","Person","5 020",""
"2015M11","Denmark","Syria","Total","Total","Asylum applicant","Person","1 935",""
"2015M11","Denmark","Syria","Total","Total","First time applicant","Person","1 935",""
"2015M11","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Asylum applicant","Person","59 615",""
"2015M11","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","First time applicant","Person","57 685",""
"2015M11","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","31 050",""
"2015M11","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","First time applicant","Person","30 865",""
"2015M11","Estonia","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2015M11","Estonia","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2015M11","Estonia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Estonia","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Ireland","Extra EU-28","Total","Total","Asylum applicant","Person","290",""
"2015M11","Ireland","Extra EU-28","Total","Total","First time applicant","Person","290",""
"2015M11","Ireland","Syria","Total","Total","Asylum applicant","Person","5",""
"2015M11","Ireland","Syria","Total","Total","First time applicant","Person","5",""
"2015M11","Greece","Extra EU-28","Total","Total","Asylum applicant","Person","1 170",""
"2015M11","Greece","Extra EU-28","Total","Total","First time applicant","Person","1 000",""
"2015M11","Greece","Syria","Total","Total","Asylum applicant","Person","255",""
"2015M11","Greece","Syria","Total","Total","First time applicant","Person","235",""
"2015M11","Spain","Extra EU-28","Total","Total","Asylum applicant","Person","1 765",""
"2015M11","Spain","Extra EU-28","Total","Total","First time applicant","Person","1 740",""
"2015M11","Spain","Syria","Total","Total","Asylum applicant","Person","570",""
"2015M11","Spain","Syria","Total","Total","First time applicant","Person","570",""
"2015M11","France","Extra EU-28","Total","Total","Asylum applicant","Person","7 370",""
"2015M11","France","Extra EU-28","Total","Total","First time applicant","Person","7 145",""
"2015M11","France","Syria","Total","Total","Asylum applicant","Person","630",""
"2015M11","France","Syria","Total","Total","First time applicant","Person","630",""
"2015M11","Croatia","Extra EU-28","Total","Total","Asylum applicant","Person","20",""
"2015M11","Croatia","Extra EU-28","Total","Total","First time applicant","Person","15",""
"2015M11","Croatia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Croatia","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Italy","Extra EU-28","Total","Total","Asylum applicant","Person","8 345",""
"2015M11","Italy","Extra EU-28","Total","Total","First time applicant","Person","8 270",""
"2015M11","Italy","Syria","Total","Total","Asylum applicant","Person","30",""
"2015M11","Italy","Syria","Total","Total","First time applicant","Person","35",""
"2015M11","Cyprus","Extra EU-28","Total","Total","Asylum applicant","Person","260",""
"2015M11","Cyprus","Extra EU-28","Total","Total","First time applicant","Person","245",""
"2015M11","Cyprus","Syria","Total","Total","Asylum applicant","Person","105",""
"2015M11","Cyprus","Syria","Total","Total","First time applicant","Person","95",""
"2015M11","Latvia","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2015M11","Latvia","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2015M11","Latvia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Latvia","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Lithuania","Extra EU-28","Total","Total","Asylum applicant","Person","25",""
"2015M11","Lithuania","Extra EU-28","Total","Total","First time applicant","Person","20",""
"2015M11","Lithuania","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Lithuania","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Luxembourg","Extra EU-28","Total","Total","Asylum applicant","Person","425",""
"2015M11","Luxembourg","Extra EU-28","Total","Total","First time applicant","Person","425",""
"2015M11","Luxembourg","Syria","Total","Total","Asylum applicant","Person","130",""
"2015M11","Luxembourg","Syria","Total","Total","First time applicant","Person","130",""
"2015M11","Hungary","Extra EU-28","Total","Total","Asylum applicant","Person","325",""
"2015M11","Hungary","Extra EU-28","Total","Total","First time applicant","Person","195",""
"2015M11","Hungary","Syria","Total","Total","Asylum applicant","Person","35",""
"2015M11","Hungary","Syria","Total","Total","First time applicant","Person","30",""
"2015M11","Malta","Extra EU-28","Total","Total","Asylum applicant","Person","195",""
"2015M11","Malta","Extra EU-28","Total","Total","First time applicant","Person","190",""
"2015M11","Malta","Syria","Total","Total","Asylum applicant","Person","85",""
"2015M11","Malta","Syria","Total","Total","First time applicant","Person","85",""
"2015M11","Netherlands","Extra EU-28","Total","Total","Asylum applicant","Person","6 360",""
"2015M11","Netherlands","Extra EU-28","Total","Total","First time applicant","Person","6 225",""
"2015M11","Netherlands","Syria","Total","Total","Asylum applicant","Person","2 400",""
"2015M11","Netherlands","Syria","Total","Total","First time applicant","Person","2 400",""
"2015M11","Austria","Extra EU-28","Total","Total","Asylum applicant","Person","11 930",""
"2015M11","Austria","Extra EU-28","Total","Total","First time applicant","Person","11 655",""
"2015M11","Austria","Syria","Total","Total","Asylum applicant","Person","2 875",""
"2015M11","Austria","Syria","Total","Total","First time applicant","Person","2 830",""
"2015M11","Poland","Extra EU-28","Total","Total","Asylum applicant","Person","1 270",""
"2015M11","Poland","Extra EU-28","Total","Total","First time applicant","Person","1 095",""
"2015M11","Poland","Syria","Total","Total","Asylum applicant","Person","15",""
"2015M11","Poland","Syria","Total","Total","First time applicant","Person","15",""
"2015M11","Portugal","Extra EU-28","Total","Total","Asylum applicant","Person","65",""
"2015M11","Portugal","Extra EU-28","Total","Total","First time applicant","Person","65",""
"2015M11","Portugal","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Portugal","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Romania","Extra EU-28","Total","Total","Asylum applicant","Person","85",""
"2015M11","Romania","Extra EU-28","Total","Total","First time applicant","Person","85",""
"2015M11","Romania","Syria","Total","Total","Asylum applicant","Person","20",""
"2015M11","Romania","Syria","Total","Total","First time applicant","Person","20",""
"2015M11","Slovenia","Extra EU-28","Total","Total","Asylum applicant","Person","45",""
"2015M11","Slovenia","Extra EU-28","Total","Total","First time applicant","Person","45",""
"2015M11","Slovenia","Syria","Total","Total","Asylum applicant","Person","5",""
"2015M11","Slovenia","Syria","Total","Total","First time applicant","Person","5",""
"2015M11","Slovakia","Extra EU-28","Total","Total","Asylum applicant","Person","15",""
"2015M11","Slovakia","Extra EU-28","Total","Total","First time applicant","Person","15",""
"2015M11","Slovakia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Slovakia","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Finland","Extra EU-28","Total","Total","Asylum applicant","Person","5 715",""
"2015M11","Finland","Extra EU-28","Total","Total","First time applicant","Person","5 690",""
"2015M11","Finland","Syria","Total","Total","Asylum applicant","Person","190",""
"2015M11","Finland","Syria","Total","Total","First time applicant","Person","190",""
"2015M11","Sweden","Extra EU-28","Total","Total","Asylum applicant","Person","36 585",""
"2015M11","Sweden","Extra EU-28","Total","Total","First time applicant","Person","36 075",""
"2015M11","Sweden","Syria","Total","Total","Asylum applicant","Person","9 595",""
"2015M11","Sweden","Syria","Total","Total","First time applicant","Person","9 555",""
"2015M11","United Kingdom","Extra EU-28","Total","Total","Asylum applicant","Person","3 475",""
"2015M11","United Kingdom","Extra EU-28","Total","Total","First time applicant","Person","3 450",""
"2015M11","United Kingdom","Syria","Total","Total","Asylum applicant","Person","260",""
"2015M11","United Kingdom","Syria","Total","Total","First time applicant","Person","260",""
"2015M11","Iceland","Extra EU-28","Total","Total","Asylum applicant","Person","45",""
"2015M11","Iceland","Extra EU-28","Total","Total","First time applicant","Person","45",""
"2015M11","Iceland","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Iceland","Syria","Total","Total","First time applicant","Person","0",""
"2015M11","Liechtenstein","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2015M11","Liechtenstein","Extra EU-28","Total","Total","First time applicant","Person",":",""
"2015M11","Liechtenstein","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M11","Liechtenstein","Syria","Total","Total","First time applicant","Person",":",""
"2015M11","Norway","Extra EU-28","Total","Total","Asylum applicant","Person","8 155",""
"2015M11","Norway","Extra EU-28","Total","Total","First time applicant","Person","8 105",""
"2015M11","Norway","Syria","Total","Total","Asylum applicant","Person","2 410",""
"2015M11","Norway","Syria","Total","Total","First time applicant","Person","2 405",""
"2015M11","Switzerland","Extra EU-28","Total","Total","Asylum applicant","Person","5 680",""
"2015M11","Switzerland","Extra EU-28","Total","Total","First time applicant","Person","5 555",""
"2015M11","Switzerland","Syria","Total","Total","Asylum applicant","Person","990",""
"2015M11","Switzerland","Syria","Total","Total","First time applicant","Person","980",""
"2015M11","Total","Extra EU-28","Total","Total","Asylum applicant","Person","172 550",""
"2015M11","Total","Extra EU-28","Total","Total","First time applicant","Person","168 400",""
"2015M11","Total","Syria","Total","Total","Asylum applicant","Person","55 685",""
"2015M11","Total","Syria","Total","Total","First time applicant","Person","55 365",""
"2015M12","European Union (28 countries)","Extra EU-28","Total","Total","Asylum applicant","Person","108 770",""
"2015M12","European Union (28 countries)","Extra EU-28","Total","Total","First time applicant","Person","104 440",""
"2015M12","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","34 635",""
"2015M12","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","34 420",""
"2015M12","Belgium","Extra EU-28","Total","Total","Asylum applicant","Person","5 220",""
"2015M12","Belgium","Extra EU-28","Total","Total","First time applicant","Person","4 810",""
"2015M12","Belgium","Syria","Total","Total","Asylum applicant","Person","1 075",""
"2015M12","Belgium","Syria","Total","Total","First time applicant","Person","1 060",""
"2015M12","Bulgaria","Extra EU-28","Total","Total","Asylum applicant","Person","1 695",""
"2015M12","Bulgaria","Extra EU-28","Total","Total","First time applicant","Person","1 660",""
"2015M12","Bulgaria","Syria","Total","Total","Asylum applicant","Person","160",""
"2015M12","Bulgaria","Syria","Total","Total","First time applicant","Person","160",""
"2015M12","Czech Republic","Extra EU-28","Total","Total","Asylum applicant","Person","140",""
"2015M12","Czech Republic","Extra EU-28","Total","Total","First time applicant","Person","110",""
"2015M12","Czech Republic","Syria","Total","Total","Asylum applicant","Person","15",""
"2015M12","Czech Republic","Syria","Total","Total","First time applicant","Person","15",""
"2015M12","Denmark","Extra EU-28","Total","Total","Asylum applicant","Person","2 670",""
"2015M12","Denmark","Extra EU-28","Total","Total","First time applicant","Person","2 665",""
"2015M12","Denmark","Syria","Total","Total","Asylum applicant","Person","825",""
"2015M12","Denmark","Syria","Total","Total","First time applicant","Person","825",""
"2015M12","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Asylum applicant","Person","48 270",""
"2015M12","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","First time applicant","Person","46 725",""
"2015M12","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","25 355",""
"2015M12","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","First time applicant","Person","25 250",""
"2015M12","Estonia","Extra EU-28","Total","Total","Asylum applicant","Person","10",""
"2015M12","Estonia","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2015M12","Estonia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Estonia","Syria","Total","Total","First time applicant","Person","0",""
"2015M12","Ireland","Extra EU-28","Total","Total","Asylum applicant","Person","210",""
"2015M12","Ireland","Extra EU-28","Total","Total","First time applicant","Person","210",""
"2015M12","Ireland","Syria","Total","Total","Asylum applicant","Person","10",""
"2015M12","Ireland","Syria","Total","Total","First time applicant","Person","10",""
"2015M12","Greece","Extra EU-28","Total","Total","Asylum applicant","Person","1 315",""
"2015M12","Greece","Extra EU-28","Total","Total","First time applicant","Person","1 160",""
"2015M12","Greece","Syria","Total","Total","Asylum applicant","Person","280",""
"2015M12","Greece","Syria","Total","Total","First time applicant","Person","265",""
"2015M12","Spain","Extra EU-28","Total","Total","Asylum applicant","Person","1 230",""
"2015M12","Spain","Extra EU-28","Total","Total","First time applicant","Person","1 225",""
"2015M12","Spain","Syria","Total","Total","Asylum applicant","Person","200",""
"2015M12","Spain","Syria","Total","Total","First time applicant","Person","200",""
"2015M12","France","Extra EU-28","Total","Total","Asylum applicant","Person","9 485",""
"2015M12","France","Extra EU-28","Total","Total","First time applicant","Person","8 595",""
"2015M12","France","Syria","Total","Total","Asylum applicant","Person","535",""
"2015M12","France","Syria","Total","Total","First time applicant","Person","535",""
"2015M12","Croatia","Extra EU-28","Total","Total","Asylum applicant","Person","15",""
"2015M12","Croatia","Extra EU-28","Total","Total","First time applicant","Person","10",""
"2015M12","Croatia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Croatia","Syria","Total","Total","First time applicant","Person","0",""
"2015M12","Italy","Extra EU-28","Total","Total","Asylum applicant","Person","6 105",""
"2015M12","Italy","Extra EU-28","Total","Total","First time applicant","Person","6 075",""
"2015M12","Italy","Syria","Total","Total","Asylum applicant","Person","40",""
"2015M12","Italy","Syria","Total","Total","First time applicant","Person","40",""
"2015M12","Cyprus","Extra EU-28","Total","Total","Asylum applicant","Person","205",""
"2015M12","Cyprus","Extra EU-28","Total","Total","First time applicant","Person","190",""
"2015M12","Cyprus","Syria","Total","Total","Asylum applicant","Person","95",""
"2015M12","Cyprus","Syria","Total","Total","First time applicant","Person","85",""
"2015M12","Latvia","Extra EU-28","Total","Total","Asylum applicant","Person","5",""
"2015M12","Latvia","Extra EU-28","Total","Total","First time applicant","Person","5",""
"2015M12","Latvia","Syria","Total","Total","Asylum applicant","Person","0",""
"2015M12","Latvia","Syria","Total","Total","First time applicant","Person","0",""
"2015M12","Lithuania","Extra EU-28","Total","Total","Asylum applicant","Person","30",""
"2015M12","Lithuania","Extra EU-28","Total","Total","First time applicant","Person","25",""
"2015M12","Lithuania","Syria","Total","Total","Asylum applicant","Person","5",""
"2015M12","Lithuania","Syria","Total","Total","First time applicant","Person","5",""
"2015M12","Luxembourg","Extra EU-28","Total","Total","Asylum applicant","Person","440",""
"2015M12","Luxembourg","Extra EU-28","Total","Total","First time applicant","Person","430",""
"2015M12","Luxembourg","Syria","Total","Total","Asylum applicant","Person","135",""
"2015M12","Luxembourg","Syria","Total","Total","First time applicant","Person","135",""
"2015M12","Hungary","Extra EU-28","Total","Total","Asylum applicant","Person","230",""
"2015M12","Hungary","Extra EU-28","Total","Total","First time applicant","Person","175",""
"2015M12","Hungary","Syria","Total","Total","Asylum applicant","Person","10",""
"2015M12","Hungary","Syria","Total","Total","First time applicant","Person","5",""
"2015M12","Malta","Extra EU-28","Total","Total","Asylum applicant","Person","160",""
"2015M12","Malta","Extra EU-28","Total","Total","First time applicant","Person","130",""
