year,country,origin,rsd_type,pending_sy,psy_unhcr,applied,convention_status,nonconvention_status,rejected,otherwise_closed,total_decisions,pending_ey,pey_unhcr
2000,Yemen,"Syrian Arab Rep.","U / FI",0,0,2,0,0,1,0,1,1,1
2000,"United States of America","Syrian Arab Rep.","G / IN",80,0,32,26,0,21,20,67,59,0
2000,"United States of America","Syrian Arab Rep.","G / EO",117,0,91,18,0,18,63,99,109,0
2000,Ukraine,"Syrian Arab Rep.","G / FI",8,0,22,12,0,9,0,21,3,0
2000,Turkey,"Syrian Arab Rep.","U / FI",1,1,3,1,0,0,1,2,2,2
2000,Sweden,"Syrian Arab Rep.","G / AR",0,0,0,1,62,95,4,162,0,0
2000,Sweden,"Syrian Arab Rep.","G / FI",0,0,335,0,16,303,25,344,0,0
2000,Slovakia,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,0
2000,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","U / FI",1,1,0,0,0,0,0,,1,1
2000,"Saudi Arabia","Syrian Arab Rep.","U / FI",7,5,19,6,0,1,11,18,8,0
2000,Romania,"Syrian Arab Rep.","G / FI",0,0,16,0,0,17,0,17,0,0
2000,Qatar,"Syrian Arab Rep.","U / FI",5,0,1,6,0,0,0,6,0,0
2000,Poland,"Syrian Arab Rep.","G / FI",0,0,7,0,0,2,7,9,0,0
2000,Pakistan,"Syrian Arab Rep.","U / FI",1,0,2,0,0,0,0,,3,0
2000,Oman,"Syrian Arab Rep.","U / FI",1,0,0,0,0,0,0,,1,0
2000,Norway,"Syrian Arab Rep.","G / FI",0,0,60,0,4,49,4,57,0,0
2000,Norway,"Syrian Arab Rep.","G / AR",0,0,0,0,3,155,0,158,0,0
2000,Netherlands,"Syrian Arab Rep.","G / JR",0,0,0,0,0,0,0,,182,0
2000,Netherlands,"Syrian Arab Rep.","G / AR",0,0,0,29,27,293,94,443,1140,0
2000,Netherlands,"Syrian Arab Rep.","G / FI",0,0,1077,43,23,27,1089,1182,507,0
2000,Malaysia,"Syrian Arab Rep.","U / FI",0,0,2,0,0,2,0,2,0,0
2000,"Rep. of Moldova","Syrian Arab Rep.","U / FI",1,1,1,0,0,0,0,,2,2
2000,Luxembourg,"Syrian Arab Rep.","G / FI",0,0,2,0,0,0,0,,0,0
2000,Jordan,"Syrian Arab Rep.","U / FI",58,0,106,2,0,65,26,93,110,0
2000,Italy,"Syrian Arab Rep.","G / FA",0,0,48,3,0,44,0,47,0,0
2000,Israel,"Syrian Arab Rep.","U / FI",3,3,2,1,0,0,0,1,4,4
2000,Iceland,"Syrian Arab Rep.","G / FI",0,0,2,0,0,2,0,2,0,0
2000,Iceland,"Syrian Arab Rep.","G / AR",0,0,2,0,1,1,0,2,0,0
2000,Iraq,"Syrian Arab Rep.","U / FI",0,0,127,49,0,0,0,49,78,0
2000,Ireland,"Syrian Arab Rep.","G / FI",0,0,10,1,0,3,3,7,0,0
2000,India,"Syrian Arab Rep.","U / FI",0,0,2,0,0,0,2,2,0,0
2000,Indonesia,"Syrian Arab Rep.","U / FI",0,0,4,0,0,2,1,3,1,1
2000,Hungary,"Syrian Arab Rep.","G / FI",12,0,41,6,0,25,14,45,8,0
2000,Greece,"Syrian Arab Rep.","G / FI",0,0,7,2,3,0,0,5,3,0
2000,France,"Syrian Arab Rep.","G / FI",0,0,18,9,0,7,0,16,0,0
2000,Finland,"Syrian Arab Rep.","G / FI",0,0,8,0,0,0,0,,0,0
2000,Finland,"Syrian Arab Rep.","G / AR",0,0,0,0,0,5,0,5,0,0
2000,Spain,"Syrian Arab Rep.","G / FI",0,0,29,0,0,11,10,21,0,0
2000,Egypt,"Syrian Arab Rep.","U / FI",2,0,6,1,0,6,0,7,1,0
2000,Algeria,"Syrian Arab Rep.","U / FI",4,4,0,4,0,0,0,4,0,0
2000,Denmark,"Syrian Arab Rep.","G / AR",0,0,0,3,7,18,0,28,19,0
2000,Denmark,"Syrian Arab Rep.","G / FI",0,0,55,8,5,44,0,57,20,0
2000,Germany,"Syrian Arab Rep.","G / RA",110,0,428,18,2,28,424,472,98,0
2000,Germany,"Syrian Arab Rep.","G / NA",593,0,2641,258,9,2056,63,2386,948,0
2000,"Czech Rep.","Syrian Arab Rep.","G / AR",1,0,1,0,0,1,0,1,1,1
2000,"Czech Rep.","Syrian Arab Rep.","G / FI",20,0,21,1,0,1,25,27,14,14
2000,Cyprus,"Syrian Arab Rep.","U / FI",9,9,30,0,0,9,26,35,4,4
2000,Cuba,"Syrian Arab Rep.","U / FI",0,0,6,6,0,0,0,6,0,0
2000,Switzerland,"Syrian Arab Rep.","G / CA",0,0,0,0,21,0,0,21,0,0
2000,Switzerland,"Syrian Arab Rep.","G / FI",145,0,156,11,29,62,85,187,152,0
2000,Canada,"Syrian Arab Rep.","G / FI",120,0,80,62,0,35,5,102,98,0
2000,Belize,"Syrian Arab Rep.","G / FI",0,0,15,0,0,0,0,,15,15
2000,Belarus,"Syrian Arab Rep.","G / FI",2,0,2,0,0,0,1,1,3,0
2000,Bulgaria,"Syrian Arab Rep.","G / FI",29,0,16,8,0,1,11,20,25,0
2000,Benin,"Syrian Arab Rep.","G / FI",2,0,1,1,0,1,0,2,1,0
2000,Belgium,"Syrian Arab Rep.","G / AR",0,0,0,0,0,20,1,21,0,0
2000,Belgium,"Syrian Arab Rep.","G / FI",0,0,292,9,0,23,0,32,0,0
2000,Azerbaijan,"Syrian Arab Rep.","U / FI",2,1,4,1,0,2,3,6,0,0
2000,Austria,"Syrian Arab Rep.","G / FA",0,0,161,1,0,26,142,169,0,0
2000,Australia,"Syrian Arab Rep.","G / AR",11,0,52,9,0,8,0,17,46,0
2000,Australia,"Syrian Arab Rep.","G / FI",7,0,50,9,0,30,3,42,15,0
2000,"United Arab Emirates","Syrian Arab Rep.","U / FI",52,0,67,43,0,27,0,70,49,0
2001,"South Africa","Syrian Arab Rep.","G / AR",0,0,0,0,0,0,0,,1,0
2001,Yemen,"Syrian Arab Rep.","U / FI",1,1,4,3,0,1,1,5,0,0
2001,Uzbekistan,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,1
2001,"United States of America","Syrian Arab Rep.","G / IN",58,0,48,17,0,19,11,47,68,0
2001,"United States of America","Syrian Arab Rep.","G / EO",111,0,88,17,0,28,40,85,114,0
2001,Ukraine,"Syrian Arab Rep.","G / FI",3,0,26,14,0,6,1,21,8,0
2001,Turkey,"Syrian Arab Rep.","U / FI",2,2,10,5,0,0,5,10,2,2
2001,Sweden,"Syrian Arab Rep.","G / AR",0,0,0,15,100,153,12,280,0,0
2001,Sweden,"Syrian Arab Rep.","G / FI",0,0,441,4,20,250,14,288,0,0
2001,Slovakia,"Syrian Arab Rep.","G / FI",1,0,10,0,0,0,4,4,7,0
2001,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",1,1,0,0,0,0,0,,1,1
2001,Singapore,"Syrian Arab Rep.","U / FI",0,0,1,0,0,1,0,1,0,0
2001,Sudan,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2001,"Saudi Arabia","Syrian Arab Rep.","U / FI",8,0,6,0,0,1,0,1,13,0
2001,Romania,"Syrian Arab Rep.","G / FI",0,0,22,0,2,15,2,19,0,0
2001,Poland,"Syrian Arab Rep.","G / AR",0,0,6,1,0,3,0,4,0,0
2001,Poland,"Syrian Arab Rep.","G / FI",0,0,10,1,0,8,4,13,0,0
2001,Peru,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,0
2001,Pakistan,"Syrian Arab Rep.","U / FI",1,0,2,0,0,2,0,2,1,0
2001,Oman,"Syrian Arab Rep.","U / FI",1,0,0,0,0,0,0,,1,0
2001,"New Zealand","Syrian Arab Rep.","G / FI",0,0,4,1,0,0,0,1,0,0
2001,Norway,"Syrian Arab Rep.","G / FI",0,0,57,5,18,47,3,73,0,0
2001,Netherlands,"Syrian Arab Rep.","G / JR",182,0,0,0,0,0,0,,462,0
2001,Netherlands,"Syrian Arab Rep.","G / FI",507,0,522,9,57,354,338,758,302,0
2001,Netherlands,"Syrian Arab Rep.","G / AR",1140,0,0,14,67,2,543,626,1000,0
2001,Malta,"Syrian Arab Rep.","G / FI",0,0,1,0,0,0,0,,1,0
2001,"Rep. of Moldova","Syrian Arab Rep.","U / FI",2,2,1,0,0,1,1,2,1,1
2001,Kuwait,"Syrian Arab Rep.","U / FI",1,1,0,0,0,1,0,1,0,0
2001,Jordan,"Syrian Arab Rep.","U / FI",110,0,93,2,0,12,29,43,160,0
2001,Italy,"Syrian Arab Rep.","G / FA",0,0,13,0,0,0,0,,0,0
2001,Israel,"Syrian Arab Rep.","U / FI",4,0,0,0,0,1,0,1,3,0
2001,Iraq,"Syrian Arab Rep.","U / FI",0,0,84,24,0,49,0,73,11,11
2001,Ireland,"Syrian Arab Rep.","G / AR",0,0,0,1,0,0,0,1,0,0
2001,Ireland,"Syrian Arab Rep.","G / FI",0,0,8,6,0,0,2,8,0,0
2001,Indonesia,"Syrian Arab Rep.","U / FI",1,1,1,0,0,1,0,1,1,1
2001,Hungary,"Syrian Arab Rep.","G / FI",8,0,17,0,1,11,12,24,1,0
2001,Greece,"Syrian Arab Rep.","G / FI",3,0,15,2,9,0,3,14,4,0
2001,France,"Syrian Arab Rep.","G / RA",0,0,0,10,0,0,0,10,0,0
2001,France,"Syrian Arab Rep.","G / FI",0,0,90,53,0,28,0,81,0,0
2001,Finland,"Syrian Arab Rep.","G / FI",0,0,8,0,6,4,2,12,0,0
2001,Estonia,"Syrian Arab Rep.","G / FI",0,0,4,0,0,0,0,,4,0
2001,Spain,"Syrian Arab Rep.","G / FI",0,0,18,3,0,32,8,43,0,0
2001,Egypt,"Syrian Arab Rep.","U / FI",1,0,12,0,0,5,0,5,8,0
2001,Algeria,"Syrian Arab Rep.","U / FI",0,0,0,4,0,0,0,4,0,0
2001,Denmark,"Syrian Arab Rep.","G / AR",19,0,0,8,0,18,0,26,12,0
2001,Denmark,"Syrian Arab Rep.","G / FI",20,0,62,3,3,19,0,25,56,0
2001,Germany,"Syrian Arab Rep.","G / RA",98,0,421,14,12,20,335,381,140,0
2001,Germany,"Syrian Arab Rep.","G / NA",948,0,2232,258,5,1900,98,2261,1012,0
2001,"Czech Rep.","Syrian Arab Rep.","G / AR",1,1,0,0,0,0,0,,1,1
2001,"Czech Rep.","Syrian Arab Rep.","G / FI",14,14,24,0,0,1,22,23,15,15
2001,Cyprus,"Syrian Arab Rep.","U / FI",4,4,47,0,0,24,1,25,26,26
2001,Cuba,"Syrian Arab Rep.","U / FI",0,0,1,0,0,1,0,1,0,0
2001,Switzerland,"Syrian Arab Rep.","G / CA",0,0,0,0,15,0,0,15,0,0
2001,Switzerland,"Syrian Arab Rep.","G / FI",152,0,148,13,23,65,46,147,185,0
2001,Canada,"Syrian Arab Rep.","G / FI",98,0,124,39,0,36,13,88,134,0
2001,Belize,"Syrian Arab Rep.","G / FI",15,15,0,0,0,0,15,15,0,0
2001,Belarus,"Syrian Arab Rep.","G / FI",3,0,0,0,0,0,0,,3,0
2001,"Bosnia and Herzegovina","Syrian Arab Rep.","U / FI",0,0,2,0,0,0,0,,2,2
2001,Bulgaria,"Syrian Arab Rep.","G / FI",25,0,23,35,12,8,1,56,0,0
2001,Benin,"Syrian Arab Rep.","G / FI",2,0,0,0,0,2,0,2,0,0
2001,Belgium,"Syrian Arab Rep.","G / AR",0,0,7,0,0,12,5,17,0,0
2001,Belgium,"Syrian Arab Rep.","G / FI",0,0,230,1,0,12,0,13,0,0
2001,Azerbaijan,"Syrian Arab Rep.","U / FI",0,0,1,0,0,0,0,,1,0
2001,Austria,"Syrian Arab Rep.","G / FA",0,0,137,11,0,32,0,43,0,0
2001,Australia,"Syrian Arab Rep.","G / FI",15,0,36,7,0,42,2,51,5,0
