country,year,total_decisions,total_recognized,rejected_closed,applied,population,ed_expd,gdp
Argentina,2009,1,0,1,0,40798641,4.88997983932495,334490355492.26
Argentina,2012,41,40,1,50,42095224,5.09904003143311,548934618735.756
Argentina,2013,119,119,0,122,42538304,5.34409999847412,554155198994.424
Argentina,2014,81,74,7,91,42980026,NA,529726189460.922
Argentina,2015,83,55,28,159,43416755,NA,583168571071.407
Armenia,2007,0,0,0,0,2988117,3.01893997192383,9206301700.39619
Armenia,2008,2,0,2,0,2975029,3.17272996902466,11662040713.8753
Armenia,2010,2,0,2,2,2963496,3.24900007247925,9260284937.79781
Armenia,2011,6,6,0,6,2967984,3.14384007453918,10142111334.4961
Armenia,2012,156,130,26,496,2978339,3.07123994827271,10619320048.5857
Armenia,2013,583,429,154,285,2992192,2.65018010139465,11121465767.4067
Armenia,2014,83,65,18,50,3006154,2.24049997329712,11644438422.9844
Armenia,2015,101,87,0,103,3017712,NA,10561401185.098
Australia,2007,8,0,8,10,20827600,4.66115999221802,853053309256.497
Australia,2008,9,2,7,16,21249200,4.63529014587402,1054557743957.03
Australia,2009,26,5,21,11,21691700,5.09262990951538,926563834486.821
Australia,2010,10,4,6,22,22031750,5.56894016265869,1142250506474.06
Australia,2011,47,27,20,96,22340024,5.09907007217407,1389919156068.22
Australia,2012,128,117,11,141,22728254,4.89646005630493,1537477830480.51
Australia,2013,61,60,1,139,23117353,5.27065992355347,1563950959269.52
Australia,2014,53,46,7,77,23464086,NA,1454675479665.84
Australia,2015,123,0,120,87,23781169,NA,1339539063150.01
Belgium,2007,352,66,286,199,10625700,5.84903001785278,471821790309.335
Belgium,2008,246,82,164,281,10709973,6.29138994216919,518626043650.212
Belgium,2009,178,50,128,347,10796493,6.41535997390747,484552653514.865
Belgium,2010,256,98,158,374,10895586,6.40798997879028,483577483443.709
Belgium,2011,96,63,33,494,11047744,6.37873983383179,526975257158.743
Belgium,2012,630,596,34,798,11128246,NA,497815990388.023
Belgium,2013,1616,1528,88,944,11182817,NA,521370527591.376
Belgium,2014,1772,1705,67,2524,11231213,NA,531234803749.453
Belgium,2015,3957,3873,84,10293,11285721,NA,454039037373.849
Brazil,2007,1,0,1,1,192784521,4.9783501625061,1397084381901.29
Brazil,2008,0,0,0,0,194769696,5.27269983291626,1695824517395.57
Brazil,2010,1,0,1,1,198614208,5.64735984802246,2208872214643.02
Brazil,2011,1,1,0,14,200517584,5.73952007293701,2614573170731.71
Brazil,2012,36,36,0,81,202401584,5.91430997848511,2460658440428.04
Brazil,2013,294,291,3,297,204259377,NA,2465773850934.56
Brazil,2014,1405,1405,0,1362,206077898,NA,2417046323841.9
Brazil,2015,532,532,0,1610,207847528,NA,1774724818900.48
Bulgaria,2008,16,1,15,20,7492561,4.20479011535645,54666642734.2757
Bulgaria,2009,24,5,19,30,7444443,4.29410982131958,51783454183.5501
Bulgaria,2010,32,5,27,52,7395599,3.91535997390747,49939168133.207
Bulgaria,2013,2386,2011,375,4452,7265115,NA,55626359256.2432
Bulgaria,2014,7530,6406,1124,6254,7223938,NA,56717054673.7214
Bulgaria,2015,7430,5322,2108,5950,7177991,NA,48952959079.5738
Canada,2008,25,16,9,70,33245773,4.66087007522583,1549131208997.19
Canada,2009,35,13,22,84,33628571,4.87313985824585,1371153004986.44
Canada,2010,88,56,32,126,34005274,5.37115001678467,1613406134731.12
Canada,2011,153,83,70,181,34342780,5.27244997024536,1788703385548.26
Canada,2012,196,155,41,350,34751476,NA,1824288757447.57
Canada,2013,489,440,49,517,35155499,NA,1837443486716.34
Canada,2014,730,685,45,538,35543658,NA,1783775590895.93
Canada,2015,570,551,19,544,35851774,NA,1550536520141.93
Cyprus,2007,2280,1,2279,1753,1063040,6.34743976593018,23716042497.1344
Cyprus,2008,2048,1,2047,963,1077010,6.80899000167847,27493064742.3573
Cyprus,2009,814,7,807,224,1090486,7.30415010452271,25593262400.8645
Cyprus,2010,219,14,205,147,1103685,6.66191005706787,25247424010.9811
Cyprus,2011,73,2,71,187,1116644,6.64467000961304,27089174646.3239
Cyprus,2012,66,2,64,564,1129303,NA,24940600822.1062
Cyprus,2013,355,123,232,584,1141652,NA,24055947955.3903
Cyprus,2014,945,9,7,836,1153658,NA,23227106275.7065
Cyprus,2015,1489,1389,0,908,1165300,NA,19319729400.0222
Czech Republic,2007,37,4,33,31,10298828,3.875,188818155388.125
Czech Republic,2008,15,4,11,36,10384603,3.75272989273071,235204812643.146
Czech Republic,2009,38,0,38,54,10443936,4.18040990829468,205729790694.015
Czech Republic,2010,48,8,40,17,10474410,4.07352018356323,207015860050.371
Czech Republic,2011,9,9,0,23,10496088,4.28408002853394,227313162936.047
Czech Republic,2012,30,22,8,68,10510785,4.27011013031006,206441578342.485
Czech Republic,2013,113,102,11,67,10514272,NA,208328435108.816
Czech Republic,2014,79,0,7,107,10525347,NA,205269709743.466
Czech Republic,2015,150,130,0,129,10551219,NA,181811026983.078
Denmark,2007,30,21,9,71,5461438,7.6137900352478,319500339842.387
Denmark,2008,62,56,6,105,5493621,7.49235010147095,352591553716.09
Denmark,2009,192,132,60,380,5523095,8.48797988891602,319762353336.194
Denmark,2010,588,338,250,821,5547683,8.61797046661377,319810991980.939
Denmark,2011,548,353,195,428,5570572,8.54712009429932,341498686832.939
Denmark,2012,742,661,81,907,5591572,NA,325012162409.979
Denmark,2013,1352,1296,56,1710,5614932,NA,338927058604.182
Denmark,2014,4123,3986,137,7085,5643475,NA,346119472127.525
Denmark,2015,5828,5717,0,8608,5676002,NA,295164313328.842
Finland,2007,16,6,10,8,5288720,5.68608999252319,255384615384.615
Finland,2008,13,4,9,24,5313399,5.8467698097229,283742493042.332
Finland,2009,19,2,17,36,5338871,6.48517990112305,251499027507.641
Finland,2010,35,7,28,41,5363352,6.54070997238159,247814569536.424
Finland,2011,48,33,15,109,5388272,6.48200988769531,273657214345.288
Finland,2012,170,142,28,180,5413971,7.19254016876221,256706466091.089
Finland,2013,182,145,37,148,5438972,7.17948007583618,269980111642.898
Finland,2014,149,96,53,146,5461512,NA,272335981538.937
Finland,2015,184,127,0,836,5482013,NA,229810358212.266
France,2007,22,3,19,45,64016229,5.44518995285034,2663112510265.54
France,2008,44,20,24,32,64374990,5.44402980804443,2923465651091.26
France,2009,34,8,26,61,64707044,5.73848009109497,2693827452070.02
France,2010,112,27,85,192,65027512,5.68342018127441,2646994701986.75
France,2011,56,38,18,119,65342776,5.51586008071899,2862502085070.89
France,2012,264,243,21,629,65659790,5.5334300994873,2681416108537.39
France,2013,881,835,46,1303,65972097,NA,2808511203185.39
France,2014,1467,1404,63,3142,66495940,NA,2829192039171.84
France,2015,2396,2322,0,5124,66808385,NA,2421682377730.95
Germany,2007,563,65,498,634,82266372,4.34302997589111,3439953462907.2
Germany,2008,476,74,402,775,82110097,4.4095401763916,3752365607148.09
Germany,2009,644,107,537,819,81902307,4.88047981262207,3418005001389.27
Germany,2010,1439,254,1185,1490,81776930,4.91368007659912,3417298013245.03
Germany,2011,816,300,516,2634,81797673,4.80779981613159,3757464553794.83
Germany,2012,5507,5230,277,6201,80425823,4.93940019607544,3539615377794.51
Germany,2013,8568,8191,377,11851,82132753,NA,3745317149399.13
Germany,2014,25027,22558,2469,39332,80982500,NA,3868291231823.77
Germany,2015,101937,97853,4084,158657,81413145,NA,3355772429854.72
Greece,2007,930,0,930,1311,11048473,NA,318497936901.177
Greece,2008,1073,0,1073,808,11077841,NA,354460802548.704
Greece,2009,899,0,899,965,11107017,NA,330000252153.376
Greece,2010,129,2,127,167,11121341,NA,299379400264.901
Greece,2011,192,4,188,352,11104899,NA,287779921184.32
Greece,2012,264,1,263,275,11045011,NA,245670666639.047
